Game,Request Type,Assignee,Total WC,Languages,Date Rcvd,Due Date,Status
Game S,LQA,Edit_01,-,EN only,1/2,1/3,Delivered
Game S,Trans,Trans_01,956,MLT only,12/18,1/2,Delivered
Game A,Trans,Trans_01,220,MLT only,1/2,1/3,Delivered
Game A,Trans,Trans_01,85,MLT only,1/2,1/3,Delivered
Game SI,Trans,Trans_02,100,EN only,12/19,1/3,Delivered
Game A,Review,Trans_01,-,EN only,1/2,1/3,Delivered
Game S,Trans,Trans_01,356,EN only,1/2,1/3,Delivered
Game M,Trans,Vendor_M,218,MLT only,1/2,1/6,Delivered
Game S,Trans,Trans_01,50,MLT only,1/2,1/6,Delivered
Game M,LQA,Edit_02,-,MLT only,12/20,1/6,Delivered
Game RB,Trans,Trans_03,920,EN only,1/2,1/6,Delivered
Game S,Trans,Trans_01,442,EN only,1/6,1/6,Delivered
Game SL,LQA,Edit_01,-,EN only,1/3,1/6,Delivered
Game SI,Trans,Trans_02,113,EN only,1/6,1/7,Delivered
Game S,Trans,Trans_01,219,MLT only,12/18,1/7,Delivered
Game S,Trans,Trans_01,287,MLT only,1/2,1/7,Delivered
Game S,Trans,Trans_01,49,MLT only,1/2,1/7,Delivered
Game S,Trans,Trans_01,202,MLT only,1/2,1/7,Delivered
Game zero,Trans,Trans_01,905,MLT only,12/20,1/7,Delivered
Game zero,Trans,Trans_01,190,MLT only,1/2,1/7,Delivered
Game SL,Trans,Trans_02,254,EN only,1/7,1/7,Delivered
Game SI,Trans,Trans_02,"1,141",EN only,1/2,1/7,Delivered
Game M,Trans,Trans_02,227,EN only,1/6,1/7,Delivered
Game S,LQA,Edit_01,-,EN only,1/7,1/7,Delivered
Game M,Trans,Trans_02,"1,253",MLT only,1/2,1/8,Delivered
Game M,Trans,Trans_02,4,MLT only,1/7,1/8,Delivered
Game S,Trans,Trans_01,181,MLT only,12/18,1/8,Delivered
Game S,Trans,Trans_01,137,MLT only,1/2,1/8,Delivered
Game S,Trans,Trans_01,107,MLT only,1/6,1/8,Delivered
Game S,Trans,Trans_01,93,MLT only,1/2,1/8,Delivered
Game S,Trans,Trans_01,118,MLT only,1/6,1/8,Delivered
Game M,Trans,Trans_02,167,MLT only,1/6,1/8,Delivered
Game A,Trans,Trans_01,140,EN only,1/7,1/8,Delivered
Game S,Trans,Trans_01,579,EN only,1/6,1/8,Delivered
Game S,Trans,Trans_01,187,EN only,1/8,1/8,Delivered
Game A,LQA,Edit_03,-,EN only,1/8,1/8,Delivered
Game M,Trans,Trans_02,137,MLT only,1/6,1/9,Delivered
Game A,Trans,Trans_01,728,MLT only,1/8,1/9,Delivered
Game SL,Trans,Trans_02,"3,317",MLT only,1/2,1/9,Delivered
Game S,Trans,Trans_01,308,MLT only,1/6,1/9,Delivered
Game S,Trans,Trans_01,58,MLT only,1/7,1/9,Delivered
Game S,LQA,Edit_01,-,EN only,1/9,1/9,Delivered
Game SI,Trans,Trans_02,"1,207",EN only,1/7,1/9,Delivered
Game S,LQA,Edit_01,-,EN only,1/9,1/9,Delivered
Game T,Trans,Vendor_E,"6,522",EN only,1/3,1/9,Delivered
Game SL,LQA,Edit_01,-,EN only,1/8,1/9,Delivered
Game S,Trans,Trans_01,54,MLT only,1/6,1/10,Delivered
Game S,Trans,Trans_01,12,MLT only,1/6,1/10,Delivered
Game SL,Trans,Trans_02,155,MLT only,1/7,1/10,Delivered
Game SL,Trans,Trans_02,"1,503",MLT only,1/7,1/10,Delivered
Game SL,Trans,Trans_02,777,MLT only,1/8,1/10,Delivered
Game SL,Trans,Trans_02,300,EN only,1/10,1/10,Delivered
Game SI,Trans,Trans_02,57,EN only,1/7,1/10,Delivered
Game SI,Trans,Trans_02,127,EN only,1/7,1/10,Delivered
Game A,Trans,Trans_01,44,MLT only,1/8,1/10,Delivered
Game A,Trans,Trans_01,41,MLT only,1/9,1/10,Delivered
Game SL,LQA,Edit_01,-,EN only,1/7,1/10,Delivered
Game SL,LQA,Edit_01,-,EN only,1/9,1/10,Delivered
Game A,Trans,Trans_01,10,EN only,1/10,1/10,Delivered
Game T,Trans,Trans_01,"1,893",EN only,1/7,1/10,Delivered
Game SL,Trans,Trans_02,25,EN only,1/9,1/10,Delivered
Game A,Trans,Trans_01,319,MLT only,1/7,1/10,Delivered
Game T,LQA,Edit_02,-,EN only,1/6,1/10,Delivered
Game M,Trans,Vendor_M,227,MLT only,1/8,1/13,Delivered
Game A,Trans,Trans_01,7,MLT only,1/9,1/13,Delivered
Game S,Trans,Trans_01,42,MLT only,1/8,1/13,Delivered
Game S,Trans,Trans_01,6,MLT only,1/9,1/13,Delivered
Game RB,Trans,Vendor_E,"26,294",EN only,11/21,1/13,Delivered
Game zero,Trans,Trans_01,244,EN only,1/13,1/13,Delivered
Game T,Trans,Trans_01,566,EN only,1/13,1/13,Delivered
Game zero,Trans,Trans_01,124,MLT only,1/9,1/14,Delivered
Game zero,Trans,Trans_01,25,MLT only,1/9,1/14,Delivered
Game M,Trans,Trans_02,"1,127",MLT only,1/9,1/14,Delivered
Game SL,Trans,Trans_02,41,MLT only,1/8,1/14,Delivered
Game S,Trans,Trans_01,818,MLT only,1/9,1/14,Delivered
Game SL,Trans,Trans_02,237,MLT only,1/9,1/14,Delivered
Game S,Trans,Trans_01,10,MLT only,1/13,1/14,Delivered
Game S,Trans,Trans_01,155,MLT only,1/13,1/14,Delivered
Game RB,Trans,Trans_03,735,EN only,1/6,1/14,Delivered
Game S,Trans,Trans_01,214,EN only,1/10,1/14,Delivered
Game S,LQA,Edit_01,-,EN only,1/13,1/14,Delivered
Game SL,LQA,Edit_01,-,EN only,1/13,1/14,Delivered
Game SL,Trans,Trans_02,34,MLT only,1/10,1/15,Delivered
Game S,Trans,Trans_01,144,MLT only,1/10,1/15,Delivered
Game SL,Trans,Trans_02,926,MLT only,1/13,1/15,Delivered
Game SL,Trans,Trans_02,117,MLT only,1/14,1/15,Delivered
Game SL,Trans,Trans_02,65,MLT only,1/14,1/15,Delivered
Game S,Trans,Trans_01,362,MLT only,1/14,1/15,Delivered
Game A,Trans,Trans_01,62,MLT only,1/8,1/15,Delivered
Game A,Trans,Trans_01,16,MLT only,1/14,1/15,Delivered
Game SI,Trans,Trans_02,93,EN only,1/10,1/15,Delivered
Game SI,Trans,Trans_02,930,EN only,1/13,1/15,Delivered
Game ML,Trans,Trans_03,"1,538",EN only,1/2,1/15,Delivered
Game T,LQA,Edit_02,-,EN only,1/14,1/15,Delivered
Game M,Trans,Trans_02,20,MLT only,1/14,1/16,Delivered
Game A,Trans,Trans_01,571,MLT only,1/15,1/16,Delivered
Game S,Trans,Trans_01,33,MLT only,1/14,1/16,Delivered
Game SL,Trans,Trans_02,"1,007",MLT only,1/9,1/16,Delivered
Game zero,Trans,Trans_01,520,EN only,1/10,1/16,Delivered
Game ML,Trans,Trans_03,"8,501",EN only,1/7,1/21,Delivered
Game SL,Trans,Trans_02,17,EN only,1/16,1/17,Delivered
Game M,Trans,Vendor_M,58,MLT only,1/14,1/16,Delivered
Game S,Trans,Trans_01,307,EN only,1/16,1/17,Delivered
Game A,Trans,Trans_01,207,MLT only,1/16,1/20,Delivered
Game zero,Trans,Trans_01,84,MLT only,1/15,1/20,Delivered
Game SL,Trans,Trans_02,16,MLT only,1/14,1/20,Delivered
Game S,Trans,Trans_01,182,MLT only,1/16,1/20,Delivered
Game M,Trans,Vendor_M,8,MLT only,1/16,1/17,Delivered
Game S,Trans,Trans_01,"1,061",MLT only,1/13,1/17,Delivered
Game SL,Trans,Trans_02,102,MLT only,1/14,1/17,Delivered
Game S,Trans,Trans_01,103,MLT only,1/15,1/17,Delivered
Game M,Trans,Vendor_M,"1,147",MLT only,1/16,1/17,Delivered
Game SI,Trans,Trans_02,305,EN only,1/17,1/17,Delivered
Game SI,Trans,Trans_02,38,EN only,1/15,1/17,Delivered
Game SI,Trans,Trans_02,37,EN only,1/15,1/17,Delivered
Game R,Trans,Vendor_E,"58,012",EN only,11/19,1/17,Delivered
Game ML,Trans,Trans_03,"12,496",EN only,1/2,1/17,Delivered
Game S,Trans,Trans_01,472,EN only,1/17,1/17,Delivered
Game S,Trans,Trans_01,31,MLT only,1/17,1/21,Delivered
Game M,Trans,Trans_02,678,MLT only,1/16,1/20,Delivered
Game S,Trans,Trans_01,100,MLT only,1/16,1/21,Delivered
Game S,LQA,Edit_01,-,EN only,1/21,1/21,Delivered
Game SI,Trans,Trans_02,496,EN only,1/16,1/21,Delivered
Game A,Trans,Trans_01,782,MLT only,1/17,1/21,Delivered
Game A,Trans,Trans_01,499,MLT only,1/17,1/21,Delivered
Game SI,LQA,Edit_04,-,EN only,1/21,1/21,Delivered
Game M,Trans,Trans_02,23,MLT only,1/21,1/22,Delivered
Game zero,Trans,Trans_01,503,MLT only,1/15,1/23,Delivered
Game S,Trans,Trans_01,107,MLT only,1/17,1/22,Delivered
Game S,Trans,Trans_01,121,MLT only,1/17,1/22,Delivered
Game SI,Trans,Trans_02,268,EN only,1/22,1/22,Delivered
Game RB,Trans,Trans_01,29,EN only,1/22,1/22,Delivered
Game ML,Trans,Trans_03,"1,557",EN only,1/14,1/22,Delivered
Game A,LQA,Edit_03,-,EN only,1/22,1/22,Delivered
Game S,LQA,Edit_01,-,EN only,1/22,1/23,Delivered
Game T,Trans,Trans_01,125,MLT only,1/15,1/23,Delivered
Game S,Trans,Trans_01,68,EN only,1/22,1/23,Delivered
Game SL,Trans,Trans_02,805,MLT only,1/16,1/23,Delivered
Game SL,Trans,Trans_02,"1,337",MLT only,1/17,1/23,Delivered
Game S,Trans,Trans_01,14,MLT only,1/21,1/23,Delivered
Game S,Trans,Trans_01,5,MLT only,1/21,1/23,Delivered
Game A,Trans,Trans_01,457,MLT only,1/21,1/23,Delivered
Game zero,Trans,Trans_01,497,MLT only,1/6,1/24,Delivered
Game SL,Trans,Trans_02,"2,105",MLT only,1/9,1/24,Delivered
Game SI,Trans,Trans_02,311,EN only,1/22,1/24,Delivered
Game M,Trans,Trans_02,181,MLT only,1/22,1/24,Delivered
Game SI,Trans,Trans_02,208,EN only,1/23,1/24,Delivered
Game SL,Trans,Trans_02,438,EN only,1/22,1/30,Delivered
Game M,LQA,Edit_05,-,MLT only,1/23,1/27,Delivered
Game zero,Trans,Trans_01,85,EN only,1/23,2/3,Delivered
Game O,Trans,Trans_01,"1,235",EN only,1/24,1/29,Delivered
Game zero,Trans,Trans_01,23,MLT only,1/22,1/30,Delivered
Game M,Trans,Trans_02,7,MLT only,1/27,1/30,Delivered
Game SL,Trans,Trans_02,106,MLT only,1/22,1/30,Delivered
Game SL,Trans,Trans_02,"1,634",MLT only,1/23,1/30,Delivered
Game SL,Trans,Trans_02,371,MLT only,1/23,1/30,Delivered
Game A,Trans,Trans_01,42,MLT only,1/23,1/30,Delivered
Game A,Trans,Trans_01,377,MLT only,1/23,1/30,Delivered
Game ML,Trans,Trans_01,42,EN only,1/23,1/30,Delivered
Game T,LQA,Edit_05,-,EN only,1/21,1/30,Delivered
Game zero,Trans,Trans_01,13,MLT only,1/22,1/31,Delivered
Game zero,Trans,Trans_01,19,MLT only,1/23,2/7,Delivered
Game S,Trans,Trans_01,57,MLT only,1/21,1/31,Delivered
Game S,Trans,Trans_01,70,MLT only,1/21,1/31,Delivered
Game S,Trans,Trans_01,"3,360",MLT only,1/21,1/31,Delivered
Game A,Trans,Trans_01,44,MLT only,1/22,1/31,Delivered
Game SL,Trans,Trans_02,44,EN only,1/31,1/31,Delivered
Game SL,LQA,Edit_01,-,EN only,1/31,2/3,Delivered
Game S,Trans,Trans_01,20,EN only,2/3,2/3,Delivered
Game SI,LQA,Edit_04,-,EN only,2/3,2/3,Delivered
Game zero,Trans,Trans_01,12,MLT only,1/24,2/4,Delivered
